,rmse,mae,mape
Seasonal 7,1.0979647831913222,0.8836462913683404,4456.5540835459415
Seasonal 31,0.6242701520606252,0.4414155766471341,450.4747781222714
Seasonal 365,0.570816018277707,0.4237286440902477,53.32471098831364
Seasonal add 365,3.491520615416368,2.8211215145497412,26.78599393900512
AutoARIMA,3.021807371507005e-12,2.3532804829355286e-12,0.16049231974708897
AutoETS,1.7407695910938076e-12,1.2778333769372578e-12,0.09082609672095125
